Alpha CL Cmle Cmc4
-12.0 -1.4745045474595693 0.3830462640252157 0.02247549268304977
-10.0 -1.2315085631831366 0.3220991773240636 0.018899382093144235
-8.0 -0.9870121754218182 0.25958285580828494 0.01523119561343994
-6.0 -0.7413132653623172 0.19580187271218458 0.011488804279740722
-4.0 -0.4947111792795274 0.13106696257416706 0.007690440646442212
-2.0 -0.24750636382920185 0.06569350736929247 0.003854609959353661
0.0 1.699573641544827e-14 2.9819896552041314e-15 7.230923759066199e-15
2.0 0.2475063638292381 -0.06569350736928632 -0.003854609959338451
4.0 0.4947111792795659 -0.13106696257416106 -0.007690440646426613
6.0 0.741313265362354 -0.1958018727121792 -0.011488804279726178
8.0 0.9870121754218527 -0.25958285580827906 -0.015231195613425508
10.0 1.2315085631831741 -0.3220991773240576 -0.018899382093128914
12.0 1.4745045474596061 -0.38304626402520997 -0.02247549268303506
14.0 1.7157040750749744 -0.4421271878317087 -0.02594210493181892
16.0 1.9548132815588124 -0.4990541124215596 -0.029282329853066003
