Alpha CL Cmle Cmc4
-12.0 [-1.18548978] [0.24999313] [-0.03990287]
-10.0 [-0.94630934] [0.19071149] [-0.04227171]
-8.0 [-0.70597597] [0.13000051] [-0.04477585]
-6.0 [-0.46478248] [0.06815599] [-0.0474031]
-4.0 [-0.22302272] [0.00547921] [-0.05014065]
-2.0 [0.01900875] [-0.05772447] [-0.05297517]
0.0 [0.26101707] [-0.12114712] [-0.05589285]
2.0 [0.50270738] [-0.18447976] [-0.05887947]
4.0 [0.74378521] [-0.24741384] [-0.06192049]
6.0 [0.98395686] [-0.30964274] [-0.06500108]
8.0 [1.22292971] [-0.3708633] [-0.06810624]
10.0 [1.46041261] [-0.43077725] [-0.07122084]
12.0 [1.69611622] [-0.48909271] [-0.07432971]
14.0 [1.92975337] [-0.54552556] [-0.07741769]
16.0 [2.16103942] [-0.59980086] [-0.08046976]
